,old_tweet,new_tweet
1771,5. Presiden USER: Mestinya dalam posisi yang sudah dekat seperti ini setiap dua minggu itu ada (publikasi) untuk media nasional maupun internasional. Harus rutin diadakan dalam rangka mempromosikan Asian Games ke-18 ini #JokowiPacuPromosiAsianGames #Yuk,5presidenmestinyadalamposisiyangsudahdekatsepeiinisetiapduamingguituadapublikasiuntukmedianasionalmaupuninternasionalharusrutindiadakandalamrangkamempromosikanasiangameske18inijokowi pacu promosi asian gamesyuk
1772,"Aku gak ngerti puisi sih, tapi minggu lalu pas nonton acara di bentara budaya, kok suka ya pas baca ini, ya kali aja ada yang tau trus mau kasih referensi lain ð???",akutidakngeipuisisihtapiminggulalupasmenontonacaradibentarabudayakoksukayapasbacainiyakalisajaadayangtauterusmaukasihreferensilain
1773,Jiun gak salah pilih Taehyung (V bts ) sebagai idolanya dan tae beruntung banget punya fansboy sperti jiun \xf0\x9f\x92\x95\xf0\x9f\x92\x95 kesayangan ku \xf0\x9f\x98\x97\xf0\x9f\x98\x97',jiuntidaksalahpilihtaehyungvbtssebagaiidolanyadantaiberuntungbangetpunyafanboyspeijiunxf0x9fx92x95xf0x9fx92x95kesayangankuxf0x9fx98x97xf0x9fx98x97
1774,Gak menyangka ternyata SBY dulu pernah difitnah juga seperti Jokowi skrg :( Tapi sby bukan diktator kayak jokowi URL,tidakmenyangkaternyatasusilo bambang yudhoyonodulupernahdifitnahjugasepeijokowisekarangtapisusilo bambang yudhoyonobukandiktatorkayakjokowiuniform resource locator
1775,USER ogah yg ngajak plh jkw pasti idiot',ogahyangmengajakpilihjokowipastiidiot
1776,USER USER Kalo cacat otak jangan dipelihara',kalaucacatotakjangandipelihara
1777,"USER USER USER MATAMU PICEK A? Duit gak ada maksa beli, hutang belum release baru mau disiapkan 11 bank sudah koar2. Entar waktu bayar dana gak ada jawabnya "" BUKAN URUSAN SAYA "". DUNGU PLUS KOPLAK diambil semua'",matamupicekaduittidakadamemaksabelihutangbelumreleasebarumaudisiapkan11banksudahkoar koarnantiwaktubayardanatidakadajawabnyabukanurusansayadungupluskocakdiambilsemua
1778,"Laki-laki itu memakai cincin tengkorak, sepatu berwarna putih, tahi lalat di dagunya. Perempuan itu bermata sipit, berambut panjang, dan manis senyumnya. Sederhana, cinta mereka turut membuat aku bahagia'",lakilakiitumemakaicincintengkoraksepatuberwarnaputihtahilalatdidagunyaperempuanitubermatasipitberambutpanjangdanmanissenyumnyasederhanacintamerekaturutmembuatakubahagia
1779,USER Apabila pembeli menemukan barang yang dibeli di gerai Hauz tidak sesuai atau cacat saat pembelian maka Hauz menjamin pengembalian barang dengan harga yang sama selama 7 hari (Syarat dan ketentuan berlaku) #HauzMiniQuiz #HauzID\n\nYuk kawan ikuta,apabilapembelimenemukanbarangyangdibelidigeraihauztidaksesuaiataucacatsaatpembelianmakahauzmenjaminpengembalianbarangdenganhargayangsamaselama7harisyaratdanketentuanberlakuhaus mini quizhaziddankunyukkawanikutan
1780,USER USER USER USER Yakin loe sekolah..agama lo merah ya waktu sekolah.. kapar kapir ..barang2 lo emang made in saudi??? ..paling hp china..kasihan gw sm hidup lo..jgn gila ya jokowi 2 periode ahok bebas tahun depan.. TGB dah,yakinkamusekolahagamakamumerahyawaktusekolahkaparkafirbarang barangkamumemangmadeinsaudipalinghandphonecinakasihanguesamahidupkamujangangilayajokowi2periodeahokbebastahundepantuan guru bajangsudah
1781,USER Banci kaleng',bancikaleng
1782,USER USER Kampret lu zonk...dimata lu selalu salah pakde jokowi dan pemerintahan ini. Wowo lah yg benar dimata lu,kampretkamuapesdimatakamuselalusalahpakdejokowidanpemerintahaniniprabowolahyangbenardimatakamu
1783,Kenapa hutang banyak diatas empat ribu trilliun!&amp; sepertinya disengaja tuk menambah utang baru! Rezim jokowi gak punya rasa nasionalis! Gak pancasilais! Dan prediksi ana emang di sengaja tuk hancurkan nkri! Biar tergadai ne ibu pertiwi!terjual ama as,kenapahutangbanyakdi atasempatributriliunampsepeinyadisengajauntukmenambahutangbarurezimjokowitidakpunyarasanasionalistidakpancasilaisdanprediksisayamemangdisengajauntukhancurkannegara kesatuan republik indonesiabiartergadaiiniibupeiwiterjualsamaas
1784,Korban dari rezim komunis bknlah angka kecil. Jumlahnya tak tanggung-tanggung; 100 juta darah manusia tercecer dari paham yg menghalalkan sgl cara.,korbandarirezimkomunisbukanlahangkakeciljumlahnyataktanggungtanggung100jutadarahmanusiatercecerdaripahamyangmenghalalkansegalacara
1785,"â??Trend. Trend sepatu seperti apa, sehingga siapapun, apa eeeeeeee, trend itu akan me, meee, membentuk sebuah pasar pasar seperti apa yang apa pada dua hari ini eee pameran disini..â??",trentrensepatusepeiapasehinggasiapapunapaeeeeeeeetrenituakanmemeeemembentuksebuahpasarpasarsepeiapayangapapadaduahariinieeepamerandi sini
1786,"ini semua berawal dari AHOK JAMBAN yg dibela aparat, para kristen serta china kafir yang lain semakin berani menghi URL",inisemuaberawaldariahokjambanyangdibelaaparatparakristenseacinakafiryanglainsemakinberanimenghiuniform resource locator
1787,ORGNYA AMIEN SIH TUE.BELAH AGAMA ITU HAK ANDA.....TAPI SAYANGNYA OTAK MALING TERIAK MALING DAN RESMI DITAHAN KPK,orangnyaamiensihtuabelahagamaituhakandatapisayangnyaotakmalingteriakmalingdanresmiditahankomisi pemberantasan korupsi
1788,USER mampus lu kunyuk',mampuskamukunyuk
1789,Benowo serta Budaya Papua; ; Filosofi dari konsep ini adalah Bendera Merah Putih sebagai bendera Indonesia yang dapat menyatukan belasan ribu pulau dan keberagaman budaya yang ada di Indonesia.; ; #MencintaiKaryaAnakBangsa,benowoseabudayapapuafilosofidarikonsepiniadalahbenderamerahputihsebagaibenderaindonesiayangdapatmenyatukanbelasanribupulaudankeberagamanbudayayangadadiindonesiamencintai karya anak bangsa
1790,"Vivo V9 Grand Launch! Disiarkan langsung dari Candi Borobudur dan 12 stasiun TV nasional, jadilah saksi perpaduan sempurna antara teknologi mutakhir, budaya, dan fashion pada 29 maret 2018 jam 8 malam. USER #VivoV9 #Vivo #VivoV9GrandLaunch",vivov9grandlaunchdisiarkanlangsungdaricandiborobudurdan12stasiuntelevisinasionaljadilahsaksiperpaduansempurnaantarateknologimutakhirbudayadanfashionpada29maret2018jam8malamvivovivovivo
1791,Tionghoa katanya kaya? Kok pada putus sekolah? Kebanyakan dugem?,tionghoakatanyakayakkokpadaputussekolahkebanyakandugem
1792,RT USER USER ya udah mundur aja Pak USER (klo tidak Anda membunuh 260jt Rakyat dgn perlahan,yasudahmundursajapakkalautidakandamembunuhdua ratus enam puluh jutarakyatdenganperlahan
1793,Gubernur Jatim minta perbaikan Jembatan Widang selesai H-15 lebaran,gubernurjawa timurmemintaperbaikanjembatanwidangselesaih15lebaran
1794,USER Pengen goblog-goblogin tapi masih pagi.',ingingoblokgoblokantapimasihpagi
1795,USER USER Ancem2an kaya banci aja jancok',ancam ancamankayakbancisajajancuk
1796,Awak berdoa Si setya novanto itu capek mati.Mudah-mudahan setya novanto mati nya didalam Banda URL,awakberdoasihsetyanovantoitucapematimudahmudahansetyanovantomatinyadi dalambandauniform resource locator
1797,"Apakah Anda jujur, menabikan Muhammad yg catut nama Tuhan legalkan kejahatannya, Pak Lukman?",apakahandajujurmenabikanmuhammadyangcatutnamatuhanlegalkankejahatannyapaklukman
1798,gua lama lama trauma beli pulsa kalo kesedot mulu. bangsad ga tri ga indosat sama aja kayaknya \xf0\x9f\x98\xad',guelamalamatraumabelipulsakalaukesedotmulubangsattidaktritidakindosatsamasajakayaknyaxf0x9fx98xad
1799,"Ulama adalah mereka yg memiliki kedalaman ilmu, yg melihat dan menyikapi masyarakatnya dengan kasih sayang.; ; Mari muliakan mereka..",ulamaadalahmerekayangmemilikikedalamanilmuyangmelihatdanmenyikapimasyarakatnyadengankasihsayangmarimuliakanmereka
1800,"USER What, nulis ""sportifitas"" saja salah? Harusnya kan ""sportivitas"" baru benar. Ahai... banci kaleng kena goreng lagi... memalukan si gembel warnet. \xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",apamenulisspoifitassajasalahharusnyakanspoivitasbarubenarahaibancikalengkenagorenglagimemalukansihgembelwarung internetxf0x9fx98x82xf0x9fxa4xa3xf0x9fx98x82xf0x9fx98x82
1801,"Capai 96%, Presiden Jokowi Akan Tinjau Progres Pembangunan Bandara Kertajati ; ;",capai96presidenjokowiakantinjauprogrespembangunanbandarakeajati
1802,USER Yg di kuatirkan pki triak pki .',yangdikhawatirkanpartai komunis indonesiateriakpartai komunis indonesia
1803,"USER USER ya iyalah.. Minions kan gak main di MD1,, jadi Duo Daddies Naik dari MD2 ke MD1, Fajar/Ardianto Naik dari MD3 ke MD2.'",yaiyalahminionkantidakmaindimd1jadiduodaddynaikdarimd2kemd1fajarardiantonaikdarimd3kemd2
1804,USER Makanya tuntut Golkar agar pecat Setya Novanto dari DPR dan pembelanya USER USER mundur dari pimpinan kalo punya malu,makanyatuntutgolkaragarpecatsetyanovantodaridewan perwakilan rakyatdanpembelanyamundurdaripimpinankalaupunyamalu
1805,"USER Negara ini sudah terjual......\nInilah hebatnya paek lek jokowi itu, negara udh d keteng, dan sdh ada dua kuasa pemerintah d negara ini, CPNS thn ini d khusskn untk sinamata sipit, sdh memperkosa negara sendiri, pngkhianat dsar PKI.'",negarainisudahterjualinilahhebatnyadekatlekjokowiitunegarasudahdiketengdansudahadaduakuasapemerintahdinegarainicalon pegawai negeri sipiltahuninidikhususkanuntuksinamatasipitsudahmemerkosanegarasendiripengkhianatdasarpartai komunis indonesia
1806,USER Bangsat banci manatuh\xf0\x9f\x98\x82',bangsatbancimana ituxf0x9fx98x82
1807,USER kalo saya ketawa sipit dua duanya? itu kenapa?',kalausayatertawasipitduaduanyaitukenapa
1808,USER Eh jancuk dimana',ehjancukdimana
1809,USER baca berulang ulang tetep ga ngerti gara gara libur trus jadi goblog lama lama',bacaberulangulangtetaptidakngeigaragaraliburterusjadigobloklamalama
1810,\xe2\x80\xa2 Tinggi : 173 Cm\n\n\xe2\x80\xa2 Berat : 47 Kg\n\n\xe2\x80\xa2 Ciri Fisik :\n - Tinggi\n - Langsing\n - Mata sipit\n - Hidung Mancung',xe2x80xa2tinggi173cumadandanxe2x80xa2berat47kgdandanxe2x80xa2cirifisikdantinggidanlangsingdanmatasipitdanhidungmancung
1811,"USER Saya jadi teringat Bu Vero.; ; Selama hari-hari menemani Pak Ahok sebagai Gubernur DKI Jakarta dan ketika menjalani sidang atas penistaan agama, saya melihat ketabahan beliau. Sungguh kepribadian yang teguh.",sayajaditeringatbuveroselamahariharimenemanipakahoksebagaigubernurdaerah khusus ibukotajakaadanketikamenjalanisidangataspenistaanagamasayamelihatketabahanbeliausungguhkepribadianyangteguh
1812,"USER Ahok gak nista Islam, dia korban politik keji, anak bangsa dgn prestasi dimatikan. Yg goblok siapa coba?'",ahoktidaknistaislamdiakorbanpolitikkejianakbangsadenganprestasidimatikanyanggobloksiapacoba
1813,USER Cebong kakean istilah tapi tetep aja hasilnya 0',cebongkebanyakanistilahtapitetapsajahasilnya0
1814,"Well udh bertaun-taun hidup di dunia, udah bergaul dengan banyak org (mungkin HAHA), tetep aja ga pernah nyaman kalau udah bicara tentang ""warna kulit, mata sipit"" \nMama itu org sunda asli, menikah sama papa yg keturunan ""orang china""'",wellsudahbeauntahunhidupdiduniasudahbergauldenganbanyakorangmungkinhahatetapsajatidakpernahnyamankalausudahbicaratentangwarnakulitmatasipitmamaituorangsundaaslimenikahsamapapayangketurunanorangcina
1815,"USER Wah.. Bangkai kapal kog bisa mengganggu ekosistim dan menjadi sampah utk biota laut, ikan... Ilmu baru ya...'",wahbangkaikapalkokbisamenggangguekosistemdanmenjadisampahuntukbiotalautikanilmubaruya
1816,Sukses USER ; 1. Sukses Prestasi ; 2. Sukses Administrasi ; 3. Sukses Pelaksanaan ; 4. Sukses Ekonomi ; 5. Sukses Menjadi warisan dan kebanggaan bagi generasi selanjutnya.; Cc. USER USER USER ; #AsianGames2018,sukses1suksesprestasi2suksesadministrasi3suksespelaksanaan4suksesekonomi5suksesmenjadiwarisandankebanggaanbagigenerasiselanjutnyaccasian games 2018
1817,"USER Speaker Parlimen Hutan Rimba yg speaker dia adalah Ungka, jadi Ahli2 Yang Berhormat yg ikut Kepala Monyet ( Parti Beruk2 Nyanyuk ) adalah Kera2 yg tak cukup makan ikut jela. \n\nParlimen Malaysia UmnoBN = Parlimen Hutan Rimba Taman Negara'",speakerparlemenhutanrimbayangspeakerdiaadalahungkajadipara ahliyangberhormatyangikutkepalamonyetpakiberuk beruknyanyukadalahkera kerayangtakcukupmakanikutsajalahdanparlemenmalaysiaumnobnparlemenhutanrimbatamannegara
1818,"Ada yang hobby :\nNgutang \nJual Asset\nSibuk Segala Urusan\nJual Issue Radikal\nImpor hasil tani/ternak\nImpor TKA\nAmnesia pura2 lupa\n#miskinMoralitascuihhh\nDan,\nRakyat dibuat PLONGA PLONGO Rp. 14rb/hari sdh TDK MISKIN lg\n\xf0\x9f\xa4\x94\xf0\x9f\x",adayanghobiberutangjualasetsibuksegalaurusanjualisuradikalimporhasiltaniternakimportenaga kerja asingamnesiapura puralupadanmiskinmoralitascuihhhdanrakyatdibuatplongaplongorupiahempat belas ribuharisudahtidakmiskinlagidanxf0x9fxa4x94xf0x9fx
1819,"USER Demo lagi sana ke KPK, tp bawa pasukan nasi bungkus yg lebih banyak biar gak malu2in \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'",demolagisanakekomisi pemberantasan korupsitetapibawapasukannasibungkusyanglebihbanyakbiartidakmemalukanxf0x9fx98x82xf0x9fx98x82xf0x9fx98x82
1820,Halaqoh&amp;silaturahmi Ulama se Lampung; Penyerahan mandat cawapres ke USER ; #CakIminTheNextWapres #CakImin #Cawapres2019; USER USER,halaqahampsilaturahmiulamaselampungpenyerahanmandatcalon wakil presidenkecak imin the next wakil presidencak imincalon wakil presiden 2019
1821,buta hati bukan buta mata okay',butahatibukanbutamataok
1822,USER USER USER Untungnya greja katolik tidak denial terhadap kobobrokan masa tsb dan mereformasi gereja \xf0\x9f\x91\x8d',untungnyagerejakatoliktidakdenialterhadapkebobrokanmasatersebutdanmereformasigerejaxf0x9fx91x8d
1823,"ISIS, Al-Qaedah, dan Berbagai Aliran Khawarij Lainnya Bahaya Laten terhadap ISLAM dan UMAT ISLAM",isisalqaedahdanberbagaialirankhawarijlainnyabahayalatenterhadapislamdanumatislam
1824,USER USER USER USER Kebanyakan minum kencing onta nih ..',kebanyakanminumkencingontanih
1825,USER Ketua Komisi II Yakin Jokowi Tolak Penghapusan Pilkada Langsung Ketua Komisi II,ketuakomisiihyakinjokowitolakpenghapusanpilihan kepala daerahlangsungketuakomisiih
1826,"USER USER USER asal gk bilang yg mana gpp gituh? kalo dia ngomong semua umat beragama itu bodoh gpp juga? yg penting dia gk bilang umat islam gituh? logika goblok,kalo bilang kitab suci malah lebih parah artinya dia menghina semua agama k",asaltidakbilangyangmanatidak apa apabegitukalaudiaberbicarasemuaumatberagamaitubodohtidak apa apajugayangpentingdiatidakbilangumatislambegitulogikagoblokkalaubilangkitabsucimalahlebihparahainyadiamenghinasemuaagamak
1827,USER bacod ngentod. emang ga buat dpt pulsa doang?dapet temen banyak. Biar lo merantau ke tempat org ada yang lo kenal lol.',bacotngentotmemangtidakbuatdapatpulsadoangdapattemanbanyakbiarkamumerantauketempatorangadayangkamukenalwkwk
1828,USER balesnya lama banget ih si pecun :( gercep dong ah',balasnyalamabangetihsihpecungerak cepatdongah
1829,USER USER mereka emang punya masa kelam tapi mereka sinting klo bilang culture mereka bnyk ditiru krn utk membuka luka lama atau menista\xe2\x80\xa6 mksd nya kan sebagian malah appreciate budaya itu\nsure gue ga habis pikir\ngue blok juga lama2 orang2 itu',merekamemangpunyamasakelamtapimerekasintingkalaubilangculturemerekabanyakditirukarenauntukmembukalukalamaataumenistaxe2x80xa6maksudnyakansebagianmalahappreciatebudayaitusureguetidakhabispikirgueblokjugalama lamaorang orangitu
1830,USER USER Ferdinand harus pintar jaga congor. Jangan sok jagoan. Lawan kita jokowi bukan teman sendiri. Kulihat kau sudah sering serang sana sini kek orang bego. Kubilang jabatan kau sekarang ini diisi oleh Ruhut Tumpul. Artinya otak ka,ferdinanharuspintarjagacongorjangansokjagoanlawankitajokowibukantemansendiriaku lihatkamusudahseringserangsanasinikayakorangbegokubilangjabatankamusekaranginidiisiolehruhuttumpulainyaotakkakak
1831,Ayo buang Alquran kitab SAMPAH USER USER USER USER USER USER,ayobuangalqurankitabsampah
1832,"Biografi KH Kholilurrahman Cicit Syaikhona Kholil Bangkalan Madura ; Biografi KH Kholilurrahman; Â©Siapa yang tak kenal KH Kholilurrahman.; ; Ra Lilur demikian biasa dipanggil, merupakan ulama yang sering didatangi...",biografikhkholilurrahmancicitsyaikhonakholilbangkalanmadurabiografikhkholilurrahmansiapayangtakkenalkhkholilurrahmanralilurdemikianbiasadipanggilmerupakanulamayangseringdidatangi
1833,USER Mata krna sipit dibilang kayak Korea bahkan pas SMA dibilang mirip sama salah satu member SNSD \xf0\x9f\xa4\xa3',matakarenasipitdibilangkayakkoreabahkanpassamadibilangmiripsamasalahsatumembersnsdxf0x9fxa4xa3
1834,"Lebih dari itu, Gus Mus bersikap santai. Kepada USER, ia juga meminta pihak USER dan Gus Yasin tidak terlalu menanggapi serangan isu penistaan agama. #GanjarYasin",lebihdariitugusmusbersikapsantaikepadaiajugamemintapihakdangusyasintidakterlalumenanggapiseranganisupenistaanagamaganjar yasin
1835,USER Barokalloh Pak .; Saya dukung dengan; #2019GantiPresiden; #2019GantiRezim; #HANCURKANPARTAISETAN,barakallahpaksayadukungdengan2019 ganti presiden2019 ganti rezimhancurkanpaaisetan
1836,USER USER Whahahaahaha mantap tetap pada intinya yaitu ngentod',hahamantaptetappadaintinyayaitungentot
1837,"USER Wkwk masa?\n\nWkwk nanti yerin jadi kotaro, sipit jd pengasuhnya ya ^-^'",wkwkmasadanwkwknantiyerinjadikotarosipitjadipengasuhnyaya
1838,USER ini semua salah cebong!!',inisemuasalahcebong
1839,"REKAM JEJAK USER, Pendidikan Formal 1. Fakultas Ekonomi, Universitas Gajah Mada #SiapaAniesSandi",rekamjejakpendidikanformal1fakultasekonomiuniversitasgajahmadasiapa anies sandi
1840,USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER USER,
1841,RT USER: Ngentot Diatas\nURL,ngentotdi atasnurl
1842,orang gendut kontolnya kecil mitos apa fakta :P. ada yang fetish latex disini? :P URL,oranggendutkontolnyakecilmitosapafaktapadayangfetishlatexdi sinipuniform resource locator
1843,Ulama Jawa Barat Dukung Presiden Joko Widodo Dalam Pilpres 201; USER USER ; #2019TetapJokowi,ulamajawabaratdukungpresidenjokowidododalampemilihan presiden2012019 tetap jokowi
1844,USER: Betapa Tubuh di Indonesia itu terkepung dan tersandera. Tubuh disasar oleh rezim untuk mengukuhkan kekuasaan sistemik.',betapatubuhdiindonesiaituterkepungdantersanderatubuhdisasarolehrezimuntukmengukuhkankekuasaanmempengaruhi seluruh sistem
1845,USER USER Kalo Jokowi - Tommy jadi RI1 &amp; RI2 .dipastikan Cebong banyak yg bunuh diri . \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',kalaujokowitommyjadirepublik indonesia 1amprepublik indonesia 2dipastikancebongbanyakyangbunuhdirixf0x9fx98x82xf0x9fx98x82xf0x9fx98x82
1846,"Kalau m\xc3\xa9lihat watak jenderal Moeldoko ini terbaca kalau beliau itu lebih dekat ke dunia bisnis , Moeldoko bekas Panglima TNI yg pernah memberikan Ahok berikut sejumlah pengusaha konglomerat Tionghoa baret n penghargaan sebagai warga besar TNI , je",kalausamaxc3xa9lihatwatakjenderalmoeldokoiniterbacakalaubeliauitulebihdekatkeduniabisnismoeldokobekaspanglimatentara nasional indonesiayangpernahmemberikanahokberikutsejumlahpengusahakonglomerattionghoabaretdanpenghargaansebagaiwargabesartentara nasional indonesiaje
1847,Itu juga boleh bila perlu lengserkan ni orang pada dasarnya pengecut jokowi,itujugabolehbilaperlulengserkannihorangpadadasarnyapengecutjokowi
1848,USER USER USER USER Namanya pembelian investasi dananya bisa dari 2 equity(modal) dan debt(utang). Bank2 tsb cm menyediakan pinjaman dgan bunga yg sgt competitive. Bukan berarti jdi milik asing lagi. Kepemilikan ttp milik Indo,namanyapembelianinvestasidananyabisadari2equitymodaldandebtutangbank banktersebutcumamenyediakanpinjamandeganbungayangsangatcompetitivebukanberaijadimilikasinglagikepemilikantetapmilikindonesia
1849,"8. Presiden USER: Tahan uji, tahan banting, selalu tawakal, dan berserah diri kepada Allah dengan tetap berusaha dan berikhtiar. Jangan sampai ada pesimisme apapun #JokowiAjakMasyarakatOptimistis",8presidentahanujitahanbantingselalutawakaldanberserahdirikepadaallahdengantetapberusahadanberikhtiarjangansampaiadapesimismeapapunjokowi ajak masyarakat optimis
1850,"USER USER Bapak aku Nor'Azam . Tu Azam gila hahaha""",bapakakunorazamituazamgilahaha
1851,USER AAHH WINWEN!! SYIAL KENAPA HARUS LESBI.. MY TYPICAL OF MY GIRL BGT!',ahxinwensialkenapaharuslesbimytipikalofmygirlbanget
1852,PopulerB1 8: Prabowo Diminta Tak Jadikan Isu Rohingya untuk Tekan Pemerintah URL URL,populer8prabowodimintatakjadikanisurohingyauntuktekanpemerintahuniform resource locatoruniform resource locator
1853,"USER USER Lah, serius? Macem umat katolik dulu sebelum renaissance? Kok gitu \xf0\x9f\x98\x95'",lahseriusmacamumatkatolikdulusebelumrenaissancekokbegituxf0x9fx98x95
1854,"USER Krn itu bbrp milih main di rusia, turki, china krn katanya sih tax heaven \nAlias 48G wes paling bener sambil angkat sekali lagi lightstick mu kawan di sayidan di jalanan tuangkan air kedamaian.'",karenaitubeberapamemilihmaindirusiaturkicinakarenakatanyasihtaxheavenaliasempat puluh gramsudahpalingbenarsambilangkatsekalilagilightstickmukawandisayidandijalanantuangkanairkedamaian
1855,USER USER Maklum ya diriku ini noob. Pantesan ga dibales lagi sama Ko Han.',maklumyadirikuininoobpantas sajatidakdibalaslagisamakokhan
1856,"RT USER: USER Ahok ini sosok yg komplit, selain hatinya busuk, ucapannya menjijikkan, perbuatannya gak kalah brengsek, menista\xe2\x80\xa6'",ahokinisosokyangkomplitselainhatinyabusukucapannyamenjijikkanperbuatannyatidakkalahberengsekmenistaxe2x80xa6
1857,"USER Eue ayo , dikasih ga?'",ngeweayodikasihtidak
1858,bukan fiktif tapi fiksi,bukanfiktiftapifiksi
1859,ahok telah jadi korban rezim ini. Turunkan Jokowi,ahoktelahjadikorbanreziminiturunkanjokowi
1860,"USER Aku juga punya temen yg kaya gitu. Dia lesbi ada alasannya kok, dan dia juga sadar kalau jalan yg dia pilih itu ga bener dan gakan bener utk masa depannya. Jadi katanya untuk main\xc2\xb2 di masa skrg aja gt dan aku yakin dia masih bisa sembuh",akujugapunyatemanyangkayakbegitudialesbiadaalasannyakokdandiajugasadarkalaujalanyangdiapilihitutidakbenardanenggak akanbenaruntukmasadepannyajadikatanyauntukmainxc2xb2dimasasekarangsajabegitudanakuyakindiamasihbisasembuh
1861,USER Penghianat nkri adalah komplotan yg membuat keputusan merugikan negara !! Tenggelamkan komplotan moncong babi antek pki',pengkhianatnegara kesatuan republik indonesiaadalahkomplotanyangmembuatkeputusanmerugikannegaratenggelamkankomplotanmoncongbabiantekpartai komunis indonesia
1862,"Umat Islam tertekan?; Indikasi tertekan itu:; - susah bangun rumah ibadah,; - dilarang melakukan kegiatan keagamaan di rumah,; - kena persekusi saat melakukan kegiatan organisasi keagamaan di tempat umum.; ; Saya rasa, bukan umat Islam di Indonesia yg meng",umatislamteekanindikasiteekanitususahbangunrumahibadahdilarangmelakukankegiatankeagamaandirumahkenapersekusisaatmelakukankegiatanorganisasikeagamaanditempatumumsayarasabukanumatislamdiindonesiayangmeng
1863,"Tak sabar dengan hinaan kepada Allah dan Rasul-Nya , Ibnu Ummi Maktum menegurnya wanita yahudi itu beberapa kali, namun tak diindahkan oleh wanita Yahudi itu. Terpaksa, beliau memukulnya. Ternyata, pukulan itu mematikan dan perkara ini dilaporkan kpd bag",taksabardenganhinaankepadaallahdanrasulnyaibnuibumaktummenegurnyawanitayahudiitubeberapakalinamuntakdiindahkanolehwanitayahudiituterpaksabeliaumemukulnyaternyatapukulanitumematikandanperkarainidilaporkankepadabag
1864,"RT USER: Edan ""USER: Kapolri: Isu Rohingya ""Digoreng"" untuk Menyerang Pemerintahan Jokowi URL",edankepala kepolisian republik indonesiaisurohingyadigorenguntukmenyerangpemerintahanjokowiuniform resource locator
1865,"Anda perlu menyadarkan wanita Indonesia, Muhammad bajad setelah Khadijah meninggal, menjadikan perempuan budak seks",andaperlumenyadarkanwanitaindonesiamuhammadbejatsetelahkhadijahmeninggalmenjadikanperempuanbudakseks
1866,USER USER USER Ini di sebut defisit negatif dlm ekonomi moneter,inidisebutdefisitnegatifdalamekonomimoneter
1867,"USER USER USER Lo yang bego, baca tu ""SALAH SATU"" , makanya baca dulu biar gak Dungu Bong'",kamuyangbegobacaitusalahsatumakanyabacadulubiartidakdungubong
1868,USER USER USER USER USER USER USER Aktifis 98 ala anak2 pki',aktivis98alaanak anakpartai komunis indonesia
1869,"Mari kita sebar kebaikan juga utk Jabar dengan meMilih pasangan #Asyik no 3 dan pasangan #SudirmanIda untuk Jateng ,....ALLAHAkbar â??â??",marikitasebarkebaikanjugauntukjabardenganmemilihpasanganasyikno3danpasangansudirman idauntukjawa tengahallahu akbar
1870,USER USER USER USER Bukan dungu IDIOT setambak',bukandunguidiotsetambak
1871,"\xc3\x8fPSK mengaku mahasiswi, pasang tarif Rp 150 ribu untuk ditiduri | URL URL",xc3x8fpskmengakumahasiswipasangtarifrupiah150ribuuntukditiduriuniform resource locatoruniform resource locator
1872,"RT USER: Berbenah alon-alon. kurangi leh mu do mayak sebelum kick off blayer-blayer wira-wiri nggowo gendero mengatas namakan geng, ko\xe2\x80\xa6'",berbenahalonalonkurangibolehmudomayaksebelumkickoffblayerblayerwirawirimembawagenderuwomengatasinamakangengkokxe2x80xa6
1873,USER USER Lucuk dan sipit hmmm',lucudansipithmmm
1874,USER USER USER Tai luh mah',taikamuadalah
1875,USER maunya mah gt aw cm ya gmn titit gua kan burik',maunyaadalahbegituawcumayabagaimanatititguekanburik
1876,"Scroll insta dak Farah ni tetiba terasa mcam cerita '3 idiot'... Gambaq pra matang semua \xf0\x9f\x98\x82""",scrollinstadakfarahnihsetibanyaterasamacamcerita3idiotgambarpramatangsemuaxf0x9fx98x82
1877,Mengapa Rasulullah SAW Anjurkan Setiap Muslim Berdagang? | Republika Online,mengaparasulullahsawanjurkansetiapmuslimberdagangrepublikaonline
1878,USER USER Kalau menurut aku mirip kang konter di deket rumah aku wkwkwk koko koko sipit \xf0\x9f\x98\x82',kalaumenurutakumiripkangkonterdidekatrumahakuwkwkkokokokosipitxf0x9fx98x82
1879,RT USER USER hutang makin gede.rakyat makin susah.dah ye alay politik lo,hutangmakingederakyatmakinsusahsudahiyaalaypolitikkamu
1880,USER Terasa org cina baca tweet aku hahaha',terasaorangcinabacatwitakuhaha
1881,RT USER: USER USER kunyuk satu nih yg gua punya wkwkwkk',kunyuksatunihyangguepunyawkwk
1882,Ganyang PKI sekuat tenaga,ganyangpartai komunis indonesiasekuattenaga
1883,USER USER 1) DPR mempunyai legislasi nasional ternakin cebong gk pk ngomong',1dewan perwakilan rakyatmempunyailegislasinasionalternakcebongtidakpakberbicara
